N_ch N_D N_Ds N_K
27 0 0 7
18 0 0 0
21 0 0 1
17 0 0 2
41 0 0 3
10 0 0 1
27 0 0 1
18 0 0 1
15 0 0 4
17 0 0 2
19 0 0 0
26 0 0 2
22 0 0 1
25 0 0 1
10 0 0 0
20 0 0 1
21 0 0 1
22 0 0 2
40 0 0 3
12 0 0 1
40 0 0 2
21 0 0 0
20 0 0 2
28 0 0 4
15 0 0 4
15 0 0 2
14 0 0 2
5 0 0 0
45 0 0 5
17 0 0 1
14 0 0 0
26 0 0 2
21 0 0 5
14 0 0 1
21 0 0 1
17 0 0 2
23 0 0 1
18 0 0 0
18 0 0 0
19 0 0 2
15 0 0 1
19 0 0 0
18 0 0 0
18 0 0 0
14 0 0 0
21 0 0 1
18 0 0 2
13 0 0 0
12 0 0 3
19 0 0 2
22 0 0 3
38 0 0 1
25 0 0 2
18 0 0 3
16 0 0 2
16 0 0 3
19 0 0 3
15 0 0 0
15 0 0 1
22 0 0 3
19 0 0 3
18 0 0 0
13 0 0 3
24 0 0 1
19 0 0 4
71 0 0 7
17 0 0 1
20 0 0 2
99 0 0 10
34 0 0 1
12 0 0 1
17 0 0 5
22 0 0 0
19 0 0 2
13 0 0 1
23 0 0 1
21 0 0 3
15 0 0 3
29 0 0 1
54 0 0 7
24 0 0 0
18 0 0 0
25 0 0 1
20 0 0 4
17 0 0 0
15 0 0 0
28 0 0 1
52 0 0 3
21 0 0 1
21 0 0 1
12 0 0 1
23 0 0 2
23 0 0 0
27 0 0 3
10 0 0 0
14 0 0 1
24 0 0 3
15 0 0 4
79 0 0 5
35 0 0 2
15 0 0 0
31 1 0 6
30 0 0 1
7 0 0 2
23 0 0 2
24 0 0 2
21 0 0 2
22 0 0 0
15 0 0 0
26 0 0 0
21 0 0 4
19 0 0 1
16 0 0 2
12 0 0 0
18 0 0 2
14 0 0 2
18 0 0 1
9 0 0 0
12 0 0 0
42 0 0 1
19 0 0 1
19 0 0 0
8 0 0 0
20 0 0 2
13 0 0 5
9 0 0 2
16 0 0 0
16 0 0 2
19 0 0 2
14 0 0 2
19 0 0 0
8 0 0 0
19 0 0 3
76 0 0 2
16 0 0 2
23 0 0 1
16 0 0 1
21 0 0 0
11 0 0 1
23 0 0 2
22 0 0 2
10 0 0 0
17 0 0 3
23 0 0 0
9 0 0 0
53 0 0 3
15 0 0 1
19 0 0 3
17 0 0 1
14 0 0 4
5 0 0 0
34 0 0 2
9 0 0 1
11 0 0 1
56 0 0 7
12 0 0 4
20 0 0 3
13 0 0 0
15 0 0 2
24 0 0 0
23 0 0 2
72 0 0 8
14 0 0 2
20 0 0 2
22 0 0 2
22 0 0 2
63 0 0 10
24 0 0 4
30 0 0 3
11 0 0 0
26 0 0 3
47 0 0 4
16 0 0 1
19 0 0 0
24 0 0 3
15 0 0 1
11 0 0 0
26 0 0 1
24 0 0 0
30 0 0 5
11 0 0 2
23 0 0 0
19 0 0 0
12 0 0 1
16 0 0 0
24 0 0 0
32 0 0 6
18 0 0 0
22 0 0 3
19 0 0 2
25 0 0 4
12 0 0 3
14 0 0 1
49 0 0 6
23 0 0 3
14 0 0 1
26 0 0 3
13 0 0 0
18 0 0 5
13 0 0 0
21 0 0 2
10 0 0 0
21 0 0 2
18 0 0 3
15 0 0 1
19 0 0 2
16 0 0 0
26 0 0 1
11 0 0 2
9 0 0 1
18 0 0 1
38 0 0 4
14 0 0 0
18 0 0 0
27 0 0 0
16 0 0 2
32 0 0 1
18 0 0 4
13 0 0 1
21 0 0 1
20 0 0 1
25 0 0 1
39 0 0 1
32 0 0 2
37 0 0 4
14 0 0 0
19 0 0 2
16 0 0 1
27 0 0 2
19 0 0 0
38 0 0 5
26 0 0 3
30 0 0 6
31 0 0 7
14 1 0 0
23 0 0 2
23 0 0 0
21 0 0 2
18 0 0 0
15 0 0 2
31 0 0 2
21 0 0 2
14 0 0 0
17 0 0 1
26 0 0 1
16 0 0 1
19 0 0 2
46 0 0 2
12 0 0 2
15 0 0 1
18 0 0 2
38 0 0 0
14 0 0 0
17 0 0 2
8 0 0 3
20 0 0 1
18 0 0 0
24 0 0 3
6 0 0 1
20 0 0 2
18 0 0 2
13 0 0 1
17 0 0 4
12 0 0 1
21 0 0 1
18 0 0 1
15 0 0 1
13 0 0 1
16 0 0 0
15 0 0 4
30 0 0 7
30 0 0 1
29 0 0 1
26 0 0 3
27 0 0 2
11 0 0 2
21 0 0 1
27 0 0 0
26 0 0 1
18 0 0 3
36 0 0 3
18 0 0 2
31 0 0 3
21 0 0 1
36 0 0 4
23 0 0 6
18 0 0 5
19 0 0 2
20 0 0 1
20 0 0 1
25 0 0 3
25 0 0 2
21 0 0 1
27 0 0 4
35 0 0 5
13 0 0 0
13 0 0 2
15 0 0 2
36 0 0 3
52 0 0 6
19 0 0 1
33 0 0 1
13 0 0 2
31 0 0 6
17 0 0 2
11 0 0 2
25 0 0 0
44 0 0 3
21 0 0 2
24 0 0 1
33 0 0 3
30 0 0 1
18 0 0 0
17 0 0 1
32 0 0 0
22 0 0 2
25 0 0 3
12 0 0 0
25 0 0 8
10 0 0 1
100 0 0 13
24 0 0 1
15 0 0 2
9 0 0 0
16 0 0 3
16 0 0 0
17 0 0 2
18 0 0 1
26 0 0 5
21 0 0 1
15 0 0 2
17 0 0 0
24 0 0 2
29 0 0 3
25 0 0 1
31 1 0 2
20 0 0 0
11 0 0 3
16 0 0 0
24 0 0 1
16 0 0 0
18 0 0 1
21 0 0 1
17 0 0 1
20 0 0 0
24 0 0 5
16 0 0 0
27 0 0 1
24 0 0 0
12 0 0 2
15 0 0 3
15 0 0 2
20 0 0 1
15 0 0 2
29 0 0 3
24 0 0 4
43 0 0 5
13 0 0 2
30 0 0 0
20 0 0 0
17 0 0 1
14 0 0 0
37 0 0 3
20 0 0 2
19 0 0 0
16 0 0 0
7 0 0 1
19 0 0 6
18 0 0 4
17 0 0 1
20 0 0 2
23 0 0 2
14 0 0 1
15 0 0 3
28 0 0 3
13 0 0 0
23 0 0 2
26 0 0 1
27 0 0 2
18 0 0 2
20 0 0 0
19 0 0 2
23 0 0 1
15 0 0 0
21 0 0 3
21 0 0 0
17 0 0 0
22 0 0 3
19 0 0 0
25 0 0 2
12 0 0 0
12 0 0 2
19 0 0 2
11 0 0 1
109 0 0 9
23 0 0 1
23 0 0 2
19 0 0 1
22 0 0 0
17 0 0 2
8 0 0 0
22 0 0 1
20 0 0 0
14 0 0 0
36 0 0 1
20 0 0 2
18 0 0 1
29 0 0 2
18 0 0 0
34 0 0 5
11 0 0 1
25 0 0 3
16 0 0 1
21 0 0 0
21 0 0 0
29 0 0 6
23 0 0 0
18 0 0 2
18 0 0 2
16 0 0 5
21 0 0 3
25 0 0 0
17 0 0 2
18 0 0 1
40 0 0 3
15 0 0 0
21 0 0 4
18 0 0 1
36 0 0 0
15 0 0 2
16 0 0 0
24 0 0 4
20 0 0 0
17 0 0 1
11 0 0 1
23 0 0 2
20 0 0 3
14 0 0 3
17 0 0 0
18 0 0 5
19 0 0 1
16 0 0 1
19 0 0 1
8 0 0 0
15 0 0 0
26 0 0 2
17 0 0 0
22 0 0 1
20 0 0 0
13 0 0 1
37 0 0 1
23 0 0 2
17 0 0 2
9 0 0 0
11 0 0 1
22 0 0 3
19 0 0 0
12 0 0 1
23 0 0 1
28 0 0 2
31 0 0 2
13 0 0 0
26 0 0 4
25 0 0 0
16 0 0 1
15 0 0 3
23 0 0 4
23 0 0 1
27 0 0 4
10 0 0 0
15 0 0 2
21 0 0 0
7 0 0 0
16 0 0 2
39 0 0 1
17 0 0 1
30 0 0 0
20 0 0 2
51 0 0 4
18 0 0 2
27 0 0 1
25 0 0 3
33 0 0 4
8 0 0 2
5 0 0 0
24 0 0 1
79 0 0 3
20 0 0 0
17 0 0 0
12 0 0 1
17 0 0 2
9 0 0 0
17 0 0 1
17 0 0 2
30 0 0 3
23 0 0 0
26 0 0 1
23 0 0 5
23 0 0 0
19 0 0 4
9 0 0 0
25 0 0 3
13 0 0 1
8 0 0 0
25 0 0 0
11 0 0 1
20 0 0 3
20 0 0 4
22 0 0 1
9 0 0 0
32 0 0 1
23 0 0 2
16 0 0 4
21 0 0 1
24 0 0 8
14 0 0 2
25 0 0 1
30 0 0 4
17 0 0 1
18 0 0 0
18 0 0 1
21 0 0 0
22 0 0 4
18 0 0 0
19 0 0 1
30 0 0 1
19 0 0 3
19 0 0 4
17 0 0 0
18 0 0 2
22 0 0 0
12 0 0 0
19 0 0 3
18 0 0 0
52 0 0 1
13 0 0 2
16 0 0 0
27 0 0 2
20 0 0 0
16 0 0 1
14 0 0 1
18 0 0 0
22 0 0 2
19 0 0 0
16 0 0 2
18 0 0 3
20 0 0 2
13 0 0 4
56 0 0 4
14 0 0 0
17 0 0 2
25 0 0 1
22 0 0 1
11 0 0 2
12 0 0 0
21 0 0 1
14 0 0 1
21 0 0 0
18 0 0 1
23 0 0 3
21 0 0 1
19 0 0 1
19 0 0 2
11 0 0 0
19 0 0 4
28 0 0 1
45 0 0 3
19 0 0 2
25 0 0 3
15 0 0 0
25 0 0 0
20 0 0 5
25 0 0 1
21 0 0 1
20 0 0 2
15 0 0 1
29 0 0 2
25 0 0 2
19 0 0 0
22 0 0 1
36 0 0 1
30 0 0 6
17 0 0 1
13 0 0 0
25 0 0 0
23 0 0 1
18 0 0 1
19 0 0 0
22 0 0 3
19 0 0 1
12 0 0 0
20 0 0 2
24 0 0 2
22 0 0 5
15 0 0 2
7 0 0 0
20 0 0 4
43 0 0 1
14 0 0 2
15 0 0 1
17 0 0 0
22 0 0 3
27 0 0 1
19 0 0 0
14 0 0 0
24 0 0 2
12 0 0 1
7 0 0 0
25 0 0 2
36 0 0 2
42 0 0 3
21 0 0 2
22 0 0 3
38 0 0 6
20 0 0 0
22 0 0 1
17 1 0 3
17 0 0 1
9 0 0 0
14 0 0 0
16 0 0 2
20 0 0 4
20 0 0 0
8 0 0 0
19 0 0 1
15 0 0 1
25 0 0 5
19 0 0 2
22 0 0 3
22 0 0 2
19 0 0 1
7 0 0 0
18 0 0 3
16 0 0 0
23 0 0 3
23 0 0 3
28 0 0 3
13 0 0 0
9 0 0 1
19 0 0 3
20 0 0 1
21 0 0 1
14 0 0 1
23 0 0 1
28 0 0 4
24 0 0 2
22 0 0 4
16 0 0 0
14 0 0 3
20 0 0 4
32 0 0 1
57 0 0 7
11 0 0 1
17 0 0 0
27 0 0 1
30 0 0 3
56 0 0 3
21 0 0 1
38 0 0 3
15 0 0 0
26 0 0 3
21 0 0 2
18 0 0 1
20 0 0 0
15 0 0 1
16 0 0 5
25 0 0 4
22 0 0 0
17 0 0 3
18 0 0 0
42 0 0 1
38 0 0 5
21 0 0 0
13 0 0 1
22 0 0 1
17 0 0 1
21 0 0 1
35 0 0 3
12 0 0 2
28 0 0 0
32 0 0 4
21 0 0 3
15 0 0 1
25 0 0 1
21 0 0 1
13 0 0 1
13 0 0 1
18 0 0 0
9 0 0 0
55 0 0 5
28 0 0 3
21 0 0 0
15 0 0 1
16 0 0 2
18 0 0 0
27 0 0 3
16 0 0 3
16 0 0 1
11 0 0 1
32 0 0 4
17 0 0 1
24 0 0 2
23 0 0 4
10 0 0 0
23 0 0 1
18 0 0 1
20 0 0 0
19 0 0 1
35 0 0 0
19 0 0 1
14 0 0 0
32 0 0 1
17 0 0 0
19 0 0 1
19 0 0 3
23 0 0 1
24 0 0 1
12 0 0 0
10 0 0 3
32 0 0 5
20 0 0 2
18 0 0 2
18 0 0 4
24 0 0 3
19 0 0 1
31 0 0 2
19 0 0 3
20 0 0 1
23 0 0 0
21 0 0 1
32 0 0 3
24 0 0 2
34 0 0 2
11 0 0 2
18 0 0 2
21 0 0 0
16 0 0 2
26 0 0 0
16 0 0 2
35 0 0 0
25 0 0 0
20 0 0 0
18 0 0 2
21 0 0 1
20 0 0 0
37 0 0 5
31 0 0 0
29 0 0 1
15 0 0 3
32 0 0 0
23 0 0 0
13 0 0 0
16 0 0 0
22 0 0 1
20 0 0 0
12 0 0 0
21 0 0 5
14 0 0 0
20 0 0 0
14 0 0 1
9 0 0 0
61 0 0 4
13 0 0 0
13 0 0 0
20 0 0 3
17 0 0 2
31 0 0 0
23 0 0 0
21 0 0 0
15 0 0 1
11 0 0 0
18 0 0 3
5 0 0 0
70 0 0 1
17 0 0 0
42 0 0 1
17 0 0 0
19 0 0 0
13 0 0 1
23 0 0 3
22 0 0 4
46 0 0 0
22 0 0 1
18 0 0 2
20 0 0 3
16 0 0 1
17 0 0 2
21 0 0 2
27 0 0 3
22 0 0 1
21 0 0 2
16 0 0 2
15 0 0 1
20 0 0 0
22 0 0 0
21 0 0 1
20 0 0 0
17 0 0 5
21 0 0 3
22 0 0 0
34 0 0 3
27 0 0 3
26 0 0 0
21 0 0 1
27 0 0 0
22 0 0 0
17 0 0 3
13 0 0 3
24 0 0 1
22 0 0 1
12 0 0 2
23 0 0 1
11 0 0 1
17 0 0 2
15 0 0 4
19 0 0 1
30 0 0 0
42 0 0 8
23 0 0 1
20 0 0 2
19 0 0 0
18 0 0 0
15 0 0 1
77 0 0 2
15 0 0 1
26 0 0 0
23 0 0 0
17 0 0 3
16 0 0 2
54 0 0 7
21 0 0 0
15 0 0 0
3 0 0 1
51 0 0 4
10 0 0 1
17 0 0 0
23 0 0 1
19 0 0 2
25 0 0 4
13 0 0 2
20 0 0 0
19 0 0 0
17 0 0 1
19 0 0 3
33 0 0 3
14 0 0 2
14 0 0 0
13 0 0 0
19 0 0 1
30 0 0 3
19 0 0 3
25 0 0 0
15 0 0 0
23 0 0 2
16 0 0 1
28 0 0 2
12 0 0 0
13 0 0 3
22 0 0 0
26 0 0 4
27 0 0 2
24 0 0 3
15 0 0 3
116 0 0 12
9 0 0 0
29 0 0 3
10 0 0 0
19 0 0 3
20 0 0 3
19 0 0 2
24 0 0 3
20 0 0 1
23 0 0 1
26 0 0 3
53 0 0 2
18 0 0 2
26 0 0 1
16 0 0 0
12 0 0 0
31 0 0 1
80 0 0 8
8 0 0 0
15 0 0 0
11 0 0 0
16 0 0 0
22 0 0 0
26 0 0 3
35 0 0 3
21 0 0 2
17 0 0 2
16 0 0 3
21 0 0 1
12 0 0 1
23 0 0 3
23 0 0 3
13 0 0 1
14 0 0 2
25 0 0 0
25 0 0 4
21 0 0 1
43 0 0 5
16 0 0 1
19 0 0 2
25 0 0 3
21 0 0 2
23 0 0 2
20 0 0 4
21 0 0 1
44 0 0 3
16 0 0 1
26 0 0 2
14 0 0 2
24 0 0 1
16 0 0 1
27 0 0 0
23 0 0 0
14 0 0 0
18 0 0 0
13 0 0 2
20 0 0 2
20 0 0 0
27 0 0 3
18 0 0 1
24 0 0 1
17 0 0 1
10 0 0 0
21 0 0 0
14 0 0 2
18 0 0 4
54 0 0 7
16 0 0 3
21 0 0 5
21 0 0 1
23 0 0 3
23 0 0 1
20 0 0 0
20 0 0 2
22 0 0 3
6 0 0 0
22 0 0 1
20 0 0 1
24 0 0 0
20 0 0 3
19 0 0 1
23 0 0 3
20 0 0 0
12 0 0 4
23 0 0 0
17 0 0 3
21 0 0 0
16 0 0 2
37 0 0 3
23 0 0 1
18 0 0 3
11 0 0 0
34 0 0 6
28 0 0 2
22 0 0 5
43 0 0 4
15 0 0 2
16 0 0 1
17 0 0 3
17 0 0 0
15 0 0 2
17 0 0 1
28 0 0 4
22 0 0 2
14 0 0 1
22 0 0 1
10 0 0 0
17 0 0 0
20 0 0 2
20 0 0 4
16 0 0 3
12 0 0 0
25 0 0 2
15 0 1 5
19 0 0 3
24 0 0 1
29 0 0 4
8 0 0 1
11 0 0 1
27 0 0 4
23 0 0 1
20 0 0 3
18 0 0 1
20 0 0 2
24 0 0 3
7 0 0 0
15 0 0 2
44 0 0 0
10 0 0 0
29 0 0 2
23 0 0 0
25 0 0 0
4 0 0 0
27 0 0 4
75 0 0 3
16 0 0 1
20 0 0 2
21 0 0 0
18 0 0 2
26 0 0 0
12 0 0 0
22 0 0 3
23 0 0 4
18 0 0 0
20 0 0 2
15 0 0 1
15 0 0 2
22 0 0 1
15 0 0 2
48 0 0 4
12 0 0 1
17 0 0 1
19 0 0 1
30 0 0 4
11 0 0 0
12 0 0 1
20 0 0 3
18 0 0 1
9 0 0 1
12 0 0 0
18 0 0 2
18 0 0 1
22 0 0 3
154 0 0 24
17 0 0 1
24 0 0 1
91 0 0 15
25 0 0 3
19 0 0 0
23 0 0 5
20 0 0 2
55 0 1 2
17 0 0 4
21 0 0 5
22 0 0 0
7 0 0 0
15 0 0 0
20 0 0 2
30 0 0 2
40 1 0 3
14 0 0 0
18 0 0 2
17 0 0 0
22 0 0 3
14 0 0 0
18 0 0 3
22 0 0 2
21 0 0 1
24 0 0 4
19 0 0 0
20 0 0 2
14 0 0 1
13 0 0 2
16 0 0 1
15 0 0 2
69 0 0 6
28 0 0 1
13 0 0 1
24 0 0 2
31 0 0 6
21 0 0 1
37 0 0 3
19 0 0 3
30 0 0 3
26 0 0 1
62 0 0 7
9 0 0 0
29 0 0 5
19 0 0 2
16 0 0 3
25 0 0 1
39 0 0 1
21 0 0 2
15 0 0 2
29 0 0 5
19 0 0 0
22 0 0 2
22 0 0 1
17 0 0 1
21 0 0 2
17 0 0 5
22 0 0 2
22 0 0 0
62 0 0 4
38 0 0 4
27 0 0 1
22 0 0 0
25 0 0 1
20 0 0 1
20 0 0 2
19 0 0 1
12 0 0 1
19 0 0 1
12 0 0 1
20 0 0 3
37 0 0 3
25 0 0 3
18 0 0 2
19 0 0 5
26 0 0 1
26 0 0 2
38 0 0 7
23 0 0 4
14 0 0 0
21 0 0 1
20 0 0 0
21 0 0 0
16 0 0 4
21 0 0 3
22 0 0 0
29 0 0 3
21 0 0 0
29 0 0 3
11 0 0 2
24 0 0 1
19 0 0 0
18 0 0 0
25 0 0 4
16 0 0 0
43 0 0 4
19 0 0 1
30 0 0 2
40 0 0 2
15 0 0 0
15 0 0 4
13 0 0 1
12 0 0 3
23 0 0 2
26 0 0 3
65 0 0 1
21 0 0 4
19 0 0 2
18 0 0 2
25 0 0 1
15 0 0 0
31 0 0 2
27 0 0 2
24 0 0 1
70 0 0 4
13 0 0 0
69 0 0 5
16 0 0 3
25 0 0 1
29 0 0 3
52 0 0 2
26 0 0 5
30 0 0 2
28 0 0 3
90 0 0 8
37 0 0 3
27 0 0 0
24 0 0 2
11 0 0 3
37 0 0 5
18 0 0 1
16 0 0 3
18 0 0 2
19 0 0 1
18 0 0 2
15 0 0 2
18 0 0 3
22 0 0 1
22 0 0 2
15 0 0 0
16 0 0 0
25 0 0 0
19 0 0 1
28 0 0 2
51 0 0 3
26 0 0 3
24 0 0 1
14 0 0 2
28 0 0 1
19 0 0 1
14 0 0 0
28 0 0 0
21 0 0 2
14 0 0 1
15 0 0 2
9 0 0 0
13 0 0 0
27 0 0 3
5 0 0 0
31 0 0 1
20 0 0 2
28 0 0 1
17 0 0 3
18 0 0 3
36 0 0 2
7 0 0 1
19 0 0 1
27 0 0 2
18 0 0 0
12 0 0 0
14 0 0 2
16 0 0 2
18 0 0 2
10 0 0 0
16 0 0 2
19 0 0 1
22 0 0 3
20 0 0 3
15 0 0 1
11 0 0 0
19 0 0 0
14 0 0 0
18 0 0 2
23 0 0 0
23 0 0 3
11 0 0 1
20 0 0 0
15 0 0 0
16 0 0 2
19 0 0 6
26 0 0 0
21 0 0 2
32 0 0 1
18 0 0 1
21 0 0 2
26 0 0 5
15 0 0 1
48 0 0 6
23 0 0 2
20 0 0 1
30 0 0 3
20 0 0 2
19 0 0 0
18 0 0 0
14 0 0 2
19 0 0 0
28 0 0 3
17 0 0 0
15 0 0 3
20 0 0 1
29 0 0 5
25 0 0 3
22 0 0 3
15 0 0 4
21 0 0 3
9 0 0 1
7 0 0 0
31 0 0 3
24 0 0 2
11 0 0 0
98 0 0 9
25 0 0 1
26 0 0 3
16 0 0 3
17 0 0 2
31 0 0 4
9 0 0 2
18 0 0 1
67 0 0 7
34 0 0 5
16 0 0 0
21 0 0 1
15 0 0 2
37 0 0 0
61 0 0 3
16 0 0 2
14 0 0 1
12 0 0 3
18 0 0 2
22 0 0 3
44 0 0 0
12 0 0 0
19 0 0 4
13 0 0 0
20 0 0 0
10 0 0 1
31 0 0 7
16 0 0 4
12 0 0 4
22 0 0 2
19 0 0 4
4 0 0 0
15 0 0 1
18 0 0 1
15 0 0 1
42 0 0 2
15 0 0 2
16 0 0 2
19 0 0 0
18 0 0 1
18 0 0 0
28 0 0 4
19 0 0 1
13 0 0 0
24 0 0 2
25 0 0 2
23 0 0 1
17 0 0 1
15 0 0 0
17 0 0 0
19 0 0 5
20 0 0 0
19 0 0 4
24 0 0 2
11 0 0 2
23 0 0 1
28 0 0 3
12 0 0 1
19 0 0 2
7 0 0 0
4 0 0 0
20 0 0 0
21 0 0 2
24 0 0 1
13 0 0 3
14 0 0 0
15 0 0 2
22 0 0 0
28 0 0 6
9 0 0 0
32 0 0 1
22 0 0 0
21 0 0 3
10 0 0 5
22 0 0 0
19 0 0 2
52 1 0 1
14 0 0 4
65 0 0 8
13 0 0 1
20 0 0 1
25 0 0 1
26 0 0 2
40 0 0 1
8 0 0 0
15 0 0 3
19 0 0 4
14 0 0 1
17 0 0 1
57 0 0 3
19 0 0 2
18 0 0 0
9 0 0 3
58 0 0 2
16 0 0 0
27 0 0 2
4 0 0 0
20 0 0 2
13 0 0 1
61 0 0 5
19 0 0 3
66 0 0 8
14 0 0 3
39 0 0 2
21 0 0 0
23 0 0 0
13 0 0 2
17 0 0 2
4 0 0 1
21 0 0 2
17 0 0 2
21 0 0 1
19 0 0 1
17 0 0 2
20 0 0 4
10 0 0 1
19 0 0 0
15 0 0 0
28 0 0 3
25 0 0 1
18 0 0 1
15 0 0 1
24 0 0 2
22 0 0 4
21 0 0 4
24 0 0 2
12 0 0 2
15 0 0 0
50 0 0 5
29 0 0 2
9 0 0 1
23 0 0 3
20 0 0 1
15 0 0 0
36 0 0 0
13 0 0 2
21 0 0 2
11 0 0 1
16 0 0 0
13 0 0 0
48 0 0 4
16 0 0 2
27 0 0 1
20 0 0 2
11 0 0 0
24 0 0 2
83 0 0 9
19 0 0 2
9 0 0 3
23 0 0 4
21 0 0 1
18 0 0 4
28 0 0 1
19 0 0 1
21 0 0 2
22 0 0 3
19 0 0 1
5 0 0 0
25 0 0 2
26 0 0 1
17 0 0 3
13 0 0 1
18 0 0 2
21 0 0 2
16 0 0 1
18 0 0 1
26 0 0 1
13 0 0 1
19 0 0 2
11 0 0 0
13 0 0 1
13 0 0 1
15 0 0 0
21 0 0 2
27 0 0 4
17 0 0 3
18 0 0 4
16 0 0 1
23 0 0 2
18 0 0 0
15 0 0 1
21 0 0 3
20 0 0 0
30 0 0 6
27 0 0 1
13 0 0 1
13 0 0 0
32 0 0 0
35 0 0 0
25 0 0 1
76 0 0 6
16 0 0 1
20 0 0 4
16 0 0 2
11 0 0 0
19 0 0 1
21 0 0 0
17 0 0 0
19 0 0 0
49 0 0 6
28 0 0 2
21 0 0 1
25 0 0 0
16 0 0 2
38 0 0 7
28 0 0 0
22 0 0 2
21 0 0 2
18 0 0 2
32 0 0 2
22 0 0 3
26 0 0 2
43 0 0 2
50 0 0 8
22 0 0 3
14 0 0 1
19 0 0 0
14 0 0 4
22 0 0 1
20 0 0 1
19 0 0 2
32 1 0 1
17 0 0 4
22 0 0 2
16 0 0 1
8 0 0 0
23 0 0 1
17 0 0 0
19 0 0 2
22 0 0 2
22 0 0 1
100 0 0 10
23 0 0 1
23 0 0 0
20 0 0 0
18 0 0 2
12 0 0 2
21 0 0 2
11 0 0 0
28 0 0 3
81 0 0 6
26 0 0 2
24 0 0 2
21 0 0 0
11 0 0 0
16 0 0 2
19 0 0 0
61 0 0 6
15 0 0 2
13 0 0 4
14 0 0 1
22 0 0 4
10 0 0 1
96 0 0 9
19 0 0 0
20 0 0 0
15 0 0 0
24 0 0 2
16 0 0 2
22 0 0 4
53 0 0 6
20 0 0 1
22 0 0 0
21 0 0 1
12 0 0 1
26 0 0 1
18 0 0 1
25 0 0 0
20 0 0 0
15 0 0 5
19 0 0 1
14 0 0 1
16 0 0 1
7 0 0 1
15 0 0 1
26 0 0 0
20 0 0 1
18 0 0 4
16 0 0 1
29 0 0 5
86 0 0 5
20 0 0 0
23 0 0 0
17 0 0 3
23 0 0 5
18 0 0 1
22 0 0 4
19 0 0 3
10 0 0 0
10 0 0 3
18 0 0 2
21 0 0 0
37 0 0 2
24 0 0 2
86 0 0 7
28 0 0 3
22 0 0 4
8 0 0 0
20 0 0 0
22 0 0 2
39 0 0 0
21 0 0 1
14 0 0 1
27 0 0 3
9 0 0 1
20 0 0 1
36 0 0 2
28 0 0 4
20 0 0 2
25 0 0 2
26 0 0 1
36 0 0 4
16 0 0 4
25 0 0 3
14 0 0 1
7 0 0 0
25 0 0 1
38 0 0 2
23 0 0 1
14 0 0 1
22 0 0 1
14 0 0 0
19 0 0 3
25 0 0 1
15 0 0 0
22 0 0 2
22 0 0 0
26 0 0 4
17 0 0 0
8 0 0 0
10 0 0 0
18 0 0 1
23 0 0 1
19 0 0 0
12 0 0 1
26 0 0 2
23 0 0 0
16 0 0 1
26 0 0 1
25 0 0 0
21 0 0 3
30 0 0 3
18 0 0 2
23 0 0 3
25 0 0 3
33 0 0 3
14 0 0 1
27 0 0 4
26 0 0 0
17 0 0 1
10 0 0 2
25 0 0 3
21 0 0 0
15 0 0 0
12 0 0 3
24 0 0 4
38 0 0 3
17 0 0 1
35 0 0 5
18 0 0 0
17 0 0 1
16 0 0 4
44 0 0 1
49 0 0 2
20 0 0 0
20 0 0 0
19 0 0 1
24 0 0 1
14 0 0 0
64 0 0 5
19 0 0 1
19 0 0 4
12 0 0 0
20 0 0 3
16 0 0 2
18 0 0 0
18 0 0 0
18 0 0 1
16 0 0 0
22 0 0 4
9 0 0 0
24 0 0 2
18 0 0 1
20 0 0 3
39 0 0 2
21 0 0 0
18 0 0 0
17 0 0 0
22 0 0 1
15 0 0 1
20 0 0 1
27 0 0 0
54 0 0 7
25 0 0 1
9 1 0 0
12 0 0 0
15 0 0 3
20 0 0 1
32 0 0 2
18 0 0 3
22 0 0 3
14 0 0 2
42 0 0 2
30 0 0 2
20 0 0 3
22 0 0 2
14 0 0 2
18 0 0 2
22 0 0 2
16 0 0 3
19 0 0 6
20 0 0 0
17 0 0 1
21 0 0 2
15 0 0 0
24 0 0 2
24 0 0 0
20 0 0 4
19 0 0 2
44 0 0 2
37 0 0 3
33 0 0 0
20 0 0 1
21 0 0 0
21 0 0 0
20 0 0 4
15 0 0 2
18 0 0 3
13 0 0 0
24 0 1 3
43 0 0 3
17 0 0 1
15 0 0 0
13 0 0 1
17 0 0 0
20 0 0 3
15 0 0 1
18 0 0 0
9 0 0 0
7 0 0 0
21 0 0 1
25 0 0 4
19 0 0 5
13 0 0 0
14 0 0 3
14 0 0 1
20 0 0 1
17 0 0 2
21 0 0 5
30 0 0 2
14 0 0 2
60 0 0 2
27 0 0 0
21 0 0 1
28 0 0 0
26 0 0 1
108 0 0 9
11 0 0 0
19 0 0 2
23 0 0 0
20 0 0 1
26 0 0 2
12 0 0 2
14 0 0 2
44 0 0 8
10 0 0 3
27 0 0 1
9 0 0 1
13 0 0 0
42 0 0 3
20 0 0 0
20 0 0 2
19 0 0 1
14 0 0 2
22 0 0 2
36 0 0 5
48 0 0 2
14 0 0 2
117 1 0 7
21 0 0 2
14 0 0 4
24 0 0 3
15 0 0 2
18 0 0 5
26 0 0 0
24 0 0 3
15 0 0 2
22 0 0 0
43 0 0 0
18 0 0 1
18 0 0 1
20 0 0 0
24 0 0 2
21 0 0 0
48 0 0 3
32 0 0 2
17 0 0 0
11 0 0 0
25 0 0 0
23 0 0 3
22 0 0 4
